,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueEliteMonsters,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redFirstBlood,redEliteMonsters,redHeralds,redTowersDestroyed,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,0,28,2,1,9,6,0,0,0,6.6,195,36,15,6,0,0,0,0,6.8,197,55
1,0,12,1,0,5,5,0,0,0,6.6,174,43,12,1,1,2,1,1,6.8,240,52
2,0,15,0,0,7,11,1,0,0,6.4,186,46,15,3,1,0,0,0,6.8,203,28
3,0,43,1,0,4,5,1,1,0,7.0,201,55,15,2,1,0,0,0,7.0,235,47
4,0,75,4,0,6,6,0,0,0,7.0,210,57,17,2,1,1,0,0,7.0,225,67
5,1,18,0,0,5,3,1,0,0,7.0,225,42,36,5,1,0,0,0,7.0,221,59
6,1,18,3,1,7,6,1,0,0,6.8,225,53,57,1,0,0,0,0,6.4,164,35
7,0,16,2,0,5,13,0,0,0,6.4,209,48,15,0,1,1,0,0,6.6,157,54
8,0,16,3,0,7,7,0,0,0,7.2,189,61,15,2,1,2,1,0,7.2,240,53
9,1,13,1,1,4,5,1,0,0,6.8,220,39,16,2,0,0,0,0,6.8,247,43
10,0,20,3,1,4,4,0,0,0,6.6,231,28,15,2,0,1,0,0,7.2,216,51
11,0,33,2,1,11,11,1,1,0,7.0,157,40,17,1,0,0,0,0,7.0,188,52
12,1,18,1,1,7,1,1,0,0,7.4,238,53,12,1,0,0,0,0,6.8,240,50
13,0,14,3,0,4,9,1,1,0,6.6,210,52,20,3,1,0,0,0,7.2,229,51
14,1,15,3,1,4,4,0,0,0,6.8,224,51,102,1,0,0,0,0,7.0,242,48
15,0,17,1,0,3,7,0,0,0,6.8,209,53,18,3,1,0,0,0,7.2,237,51
16,1,14,1,1,10,2,0,0,0,7.6,263,56,13,2,0,1,0,0,6.8,210,64
17,0,43,3,0,3,7,1,1,0,6.8,203,54,17,14,1,0,0,0,6.8,218,53
18,1,21,4,1,5,4,0,0,0,6.8,213,49,19,3,0,2,1,0,6.6,228,52
19,0,11,3,0,5,9,0,0,0,7.0,188,48,15,1,1,0,0,0,7.4,219,56
20,1,14,3,1,11,6,1,0,0,7.2,214,45,12,2,0,0,0,0,7.0,225,48
21,0,13,1,0,4,13,0,0,0,6.8,203,43,15,3,1,1,0,0,7.2,209,45
22,0,17,2,0,4,6,0,0,0,7.0,238,56,16,3,1,1,0,0,7.0,231,60
23,0,78,4,0,4,3,2,1,0,6.8,238,67,15,3,1,0,0,0,7.0,220,64
24,1,33,3,0,6,9,0,0,0,6.8,208,45,18,3,1,0,0,0,6.6,197,36
25,0,17,1,0,4,8,0,0,0,6.2,204,44,19,2,1,1,0,0,7.0,221,36
26,1,18,1,0,8,6,1,0,0,7.0,209,44,10,3,1,0,0,0,6.8,233,36
